Computed in WSL

# pipes:  9
0 geometry_built, time used:  21.18040633201599
0 number of points:  7826
        residual = 0.0909266258700701,  iter = 60,      time = 0.0 mins
        residual = 0.06232773608766491, iter = 80,      time = 0.0 mins
        residual = 0.05260855018068147, iter = 100,     time = 0.0 mins
        residual = 4.862402972678104e-07,       iter = 120,     time = 0.0 mins
        residual = 0.18378231500508097, iter = 20,      time = 0.0 mins
        residual = 0.13285786990901627, iter = 40,      time = 0.0 mins
        residual = 1.2881021584017982e-05,      iter = 60,      time = 0.0 mins
        residual = 3.919055091455517e-07,       iter = 80,      time = 0.0 mins
        residual = 1.603743681843306e-07,       iter = 100,     time = 0.0 mins
        residual = 2.3185916805494537e-10,      iter = 120,     time = 0.0 mins
        residual = 1.0435311010515979e-10,      iter = 140,     time = 0.0 mins
        residual = 8.94732289619675e-11,        iter = 160,     time = 0.0 mins
        residual = 8.82809846790492e-11,        iter = 180,     time = 0.0 mins
        residual = 8.672593782350378e-11,       iter = 200,     time = 0.0 mins
        residual = 8.63942821393056e-11,        iter = 220,     time = 0.0 mins
        residual = 8.596975217176022e-11,       iter = 240,     time = 0.0 mins
        residual = 8.522147390520558e-11,       iter = 260,     time = 0.0 mins
        residual = 8.486472130468847e-11,       iter = 280,     time = 0.0 mins
        residual = 2.29683661503252e-11,        iter = 300,     time = 0.0 mins
        residual = 1.695240128199542e-11,       iter = 320,     time = 0.0 mins
        residual = 1.2663025489182098e-11,      iter = 340,     time = 0.0 mins
        residual = 1.168429995605351e-11,       iter = 360,     time = 0.0 mins
        residual = 1.0869095863299703e-11,      iter = 380,     time = 0.0 mins
        residual = 8.360749145300561e-12,       iter = 400,     time = 0.0 mins
        residual = 7.875720145987939e-12,       iter = 420,     time = 0.0 mins
        residual = 2.4954272255355716e-12,      iter = 440,     time = 1.0 mins
        residual = 2.2150862422970856e-12,      iter = 460,     time = 1.0 mins
        residual = 2.122928096073111e-12,       iter = 480,     time = 1.0 mins
        residual = 2.1049285904936838e-12,      iter = 500,     time = 1.0 mins
        residual = 2.096091558038991e-12,       iter = 520,     time = 1.0 mins
        residual = 2.0689470969521774e-12,      iter = 540,     time = 1.0 mins
        residual = 2.0681641932090337e-12,      iter = 560,     time = 1.0 mins
        residual = 2.0447569042200857e-12,      iter = 580,     time = 1.0 mins
        residual = 1.99484581178658e-12,        iter = 600,     time = 1.0 mins
        residual = 1.9891624981669837e-12,      iter = 620,     time = 1.0 mins
        residual = 1.9685435359417396e-12,      iter = 640,     time = 1.0 mins
        residual = 1.9166101947520346e-12,      iter = 660,     time = 1.0 mins
        residual = 1.8898653652204925e-12,      iter = 680,     time = 1.0 mins
        residual = 1.8501998308953314e-12,      iter = 700,     time = 1.0 mins
        residual = 1.8090693663653511e-12,      iter = 720,     time = 1.0 mins
        residual = 1.7818420995112425e-12,      iter = 740,     time = 1.0 mins
        residual = 1.7796158838406284e-12,      iter = 760,     time = 1.0 mins
        residual = 1.7458840741036821e-12,      iter = 780,     time = 1.0 mins
        residual = 2.1188707879370042e-11,      iter = 800,     time = 1.0 mins
        residual = 1.6349157511931572e-11,      iter = 820,     time = 1.0 mins
        residual = 1.2652076140068525e-11,      iter = 840,     time = 2.0 mins
        residual = 1.0495315601152595e-11,      iter = 860,     time = 2.0 mins
        residual = 7.549198791209731e-12,       iter = 880,     time = 2.0 mins
        residual = 2.9689643313171105e-12,      iter = 900,     time = 2.0 mins
        residual = 8.221076808908184e-13,       iter = 920,     time = 2.0 mins
        residual = 2.2174272828624414e-13,      iter = 940,     time = 2.0 mins
        residual = 2.1976849077802288e-13,      iter = 960,     time = 2.0 mins
        residual = 2.1322379741613828e-13,      iter = 980,     time = 2.0 mins
        residual = 1.8772481671757322e-13,      iter = 1000,    time = 2.0 mins
        residual = 1.870346144677486e-13,       iter = 1020,    time = 2.0 mins
        residual = 1.84510248347664e-13,        iter = 1040,    time = 2.0 mins
        residual = 1.840345956861079e-13,       iter = 1060,    time = 2.0 mins
        residual = 1.8370214201678968e-13,      iter = 1080,    time = 2.0 mins
        residual = 1.8367128332368706e-13,      iter = 1100,    time = 2.0 mins
        residual = 1.834983813653618e-13,       iter = 1120,    time = 2.0 mins
        residual = 1.816031059816195e-13,       iter = 1140,    time = 2.0 mins
        residual = 1.8048915414357504e-13,      iter = 1160,    time = 2.0 mins
        residual = 1.7832891411976324e-13,      iter = 1180,    time = 2.0 mins
        residual = 1.7597599516552818e-13,      iter = 1200,    time = 2.0 mins
        residual = 1.75281477588233e-13,        iter = 1220,    time = 2.0 mins
        residual = 1.7504817910272173e-13,      iter = 1240,    time = 2.0 mins
        residual = 1.735821929934288e-13,       iter = 1260,    time = 3.0 mins
        residual = 1.73064188243028e-13,        iter = 1280,    time = 3.0 mins
6 solver built, time used:  204.6245083808899 n omegas:  2

7 geometry_built, time used:  25.00269889831543
7 number of points:  19084
